Prepared by make_fb_optgeo_target.py
400_C16H13N3O4S : C/C(=N\NC1=NS(=O)(=O)c2c1cccc2)/c3ccc4c(c3)OCO4-4 molecule_id 12158399 | SUCCESS
427_BrC10FH10O3 : c1cc(c(cc1Br)OCC2OCCO2)F-2 molecule_id 12159966 | SUCCESS
428_C13H22N2OS : CCc1c(sc(n1)C)C[N@]2C[C@@H]([C@@](C2)(C)O)C-2 molecule_id 12160033 | SUCCESS
429_C9Cl2H8N6 : c1cc(c(cc1Cl)Cl)/C=N/Nc2nncn2N-0 molecule_id 12160083 | SUCCESS
430_BrC5H6N3O2 : Cn1nc(c(n1)Br)C(=O)OC-0 molecule_id 12160109 | SUCCESS
431_C13H13NO : c1ccc2c(c1)c(ccc2O)[C@H]3CCN3-0 molecule_id 12160138 | SUCCESS
432_C8Cl3F4H3O : c1c(cc(cc1OC(Cl)(Cl)Cl)F)C(F)(F)F-1 molecule_id 12160152 | SUCCESS
433_C16H13N3O4S : C/C(=N\NC1=NS(=O)(=O)c2c1cccc2)/c3ccc4c(c3)OCO4-12 molecule_id 12160206 | SUCCESS
434_C10F2H10O3 : c1cc(c(cc1F)OCC2OCCO2)F-4 molecule_id 12160257 | SUCCESS
435_C16H14N4OS : c1ccc(cc1)c2ncc(s2)c3[nH]c4c(n3)C(=O)NCCC4-2 molecule_id 12160332 | SUCCESS
436_C19ClH18NO3 : c1ccc2c(c1)CCN2C(=O)Cc3cc4c(c(c3)Cl)OCCCO4-21 molecule_id 12160433 | SUCCESS
437_C16H11N3OS : Cc1ccccc1c2nc(on2)/C(=C/c3cccs3)/C#N-5 molecule_id 12160480 | SUCCESS
438_BrC8H12NS : CCNCc1cc(c(s1)C)Br-0 molecule_id 12160528 | SUCCESS
439_C11H7N5O2 : c1cc(c(nc1)O)c2nc(no2)c3cccnn3-1 molecule_id 12160562 | SUCCESS
440_C16H13N3O4S : C/C(=N\NC1=NS(=O)(=O)c2c1cccc2)/c3ccc4c(c3)OCO4-13 molecule_id 12160573 | SUCCESS
441_BrC14Cl2H7N2O : c1ccc(c(c1)c2nc(on2)c3ccc(cc3Cl)Cl)Br-0 molecule_id 12160621 | SUCCESS
442_BrC8H9N2O : c1cc(cc(c1)Br)C/C(=N\O)/N-5 molecule_id 12160649 | SUCCESS
443_C13H13N3O : Cc1cc(cnc1Nc2ccccc2)/C=N/O-0 molecule_id 12160707 | SUCCESS
444_C14ClH10N3O2S : c1ccc2c(c1)C(=NS2(=O)=O)N/N=C\c3ccc(cc3)Cl-2 molecule_id 12160754 | SUCCESS
445_C17ClH21N4O : Cc1ccc(c(c1)n2c(c(c(n2)C)/C=N\N3CCOCC3)Cl)C-1 molecule_id 12160836 | SUCCESS
446_BrC5H6N3O2 : Cn1nc(c(n1)Br)C(=O)OC-1 molecule_id 12160900 | SUCCESS
447_C9H8N2O4 : c1ccc(c(c1)[C@H]2COC(=O)N2)[N+](=O)[O-]-0 molecule_id 12160948 | SUCCESS
448_C12ClH10N3O3S : c1cc(ccc1/N=N\c2ccc(c(c2)Cl)O)S(=O)(=O)N-6 molecule_id 12160985 | SUCCESS
449_BrC12H9N2O : c1ccnc(c1)C(=O)Cc2ccnc(c2)Br-2 molecule_id 12161044 | SUCCESS
